file,event_group,event_start_time_utc,event_end_time_utc,event_start_seconds,event_end_seconds,event_duration_seconds,ENL_evidence,MOP_evidence,RPM_evidence,maximum_motor_evidence_count,start_latitude,start_longitude,pressure_altitude_at_start_m,gnss_altitude_at_start_m,analysis_altitude_at_start_m,pre_vertical_speed_mean_mps,post_vertical_speed_mean_mps,post_altitude_change_m,pre_window_rows,post_window_rows,ENL_event_max,ENL_pre_median,ENL_post_median,MOP_event_max,MOP_pre_median,MOP_post_median,RPM_event_max,RPM_pre_median,RPM_post_median
4536-9239003145.igc,21,22:18:34,22:19:10,80314.0,80350.0,37.0,True,False,False,1,28.9399,-99.58923333333334,1550.0,1636.0,1636.0,0.4,-2.841666666666667,-399.0,60,120,106.0,6.0,48.0,,,,,,
4536-9239003145.igc,22,22:28:47,22:29:16,80927.0,80956.0,30.0,True,False,False,1,29.209816666666665,-99.74278333333334,275.0,259.0,259.0,-1.8,0.0,-2.0,60,42,388.0,4.0,4.0,,,,,,
4536-9239003146.igc,1,18:31:39,18:31:43,66699.0,66703.0,5.0,True,False,False,1,29.186733333333333,-99.74405,876.0,939.0,939.0,1.4067796610169492,-0.3644067796610169,-9.0,59,118,70.0,4.0,4.0,,,,,,
4536-9239003146.igc,2,18:54:28,18:54:28,68068.0,68068.0,1.0,True,False,False,1,29.230483333333332,-99.638,1677.0,1771.0,1771.0,0.3559322033898305,0.3135593220338983,17.0,59,118,56.0,68.0,999.0,,,,,,
4536-9239003146.igc,3,18:54:56,18:55:43,68096.0,68143.0,48.0,True,False,False,1,29.230216666666667,-99.64766666666667,1700.0,1798.0,1798.0,0.6271186440677966,-0.6271186440677966,-123.0,59,118,999.0,4.0,5.0,,,,,,
4536-9239003146.igc,4,22:28:32,22:29:03,80912.0,80943.0,32.0,True,False,False,1,29.2319,-99.75663333333334,476.0,470.0,470.0,-2.05,-1.0212765957446808,-212.0,60,94,62.0,4.0,4.0,,,,,,
4536-9239003146.igc,5,22:29:42,22:30:11,80982.0,81011.0,30.0,True,False,False,1,29.2142,-99.74615,279.0,260.0,260.0,-2.95,0.0,-2.0,60,26,854.0,4.0,4.0,,,,,,
4536-9239003146.igc,6,22:30:37,22:30:37,81037.0,81037.0,1.0,True,False,False,1,29.211033333333333,-99.74468333333333,280.0,258.0,258.0,0.0,,,60,0,24.0,9.0,,,,,,,
4536-9239003148.igc,1,20:16:28,20:16:33,72988.0,72993.0,6.0,True,False,False,1,29.193166666666666,-99.70738333333334,1156.0,1215.0,1215.0,1.75,2.433333333333333,315.0,60,120,424.0,216.0,4.0,,,,,,
4536-9239003150.igc,1,19:41:05,19:41:26,70865.0,70886.0,22.0,True,False,False,1,29.182116666666666,-99.76311666666666,636.0,668.0,668.0,2.533333333333333,0.614406779661017,138.0,60,118,478.0,8.0,24.0,14.0,12.0,12.0,,,
