event_id,file,event_group,date,glider_type,recorder_type,event_start_time_utc,event_end_time_utc,event_start_seconds,event_end_seconds,event_duration_seconds,event_duration_log,brief_event_indicator,sustained_event_indicator,start_latitude,start_longitude,pressure_altitude_at_start_m,gnss_altitude_at_start_m,analysis_altitude_at_start_m,terrain_elevation_m,start_agl_m,applicable_agl_threshold_m,above_required_agl,pre_vertical_speed_mean_mps,post_vertical_speed_mean_mps,vertical_speed_change_mps,post_altitude_change_m,post_climb_indicator,vertical_response_improved,post_altitude_gain_indicator,post_altitude_loss_indicator,large_post_altitude_gain_indicator,ENL_evidence,MOP_evidence,RPM_evidence,ENL_event_max,ENL_pre_median,ENL_post_median,ENL_increase_from_pre,ENL_relative_increase,MOP_event_max,MOP_pre_median,MOP_post_median,MOP_increase_from_pre,MOP_relative_increase,RPM_event_max,RPM_pre_median,RPM_post_median,RPM_increase_from_pre,RPM_relative_increase,available_motor_sensor_count,observed_motor_signal_count,motor_evidence_coverage,descriptive_evidence_count,ENL_available,MOP_available,RPM_available,TAS_available,GSP_available,VAT_available,ACZ_available,pre_window_rows,post_window_rows,pre_window_complete,post_window_complete,complete_event_context,missing_start_altitude,missing_start_location,missing_vertical_response,source_processing_status,source_time_series_rows,source_candidate_event_count,sponsor_verified_label,decision_tree_classification,manual_review_status,review_notes
4536-9239003145.igc__event_7,4536-9239003145.igc,7,,Ventus 3M,"LXNAV,LX9070",21:19:58,21:19:58,76798.0,76798.0,1.0,0.6931471805599453,True,False,28.04448333333333,-98.92828333333334,910.0,951.0,951.0,,,,,-1.0833333333333333,-0.5042016806722689,0.5791316526610644,-12.0,False,True,False,True,False,True,False,False,26.0,4.0,4.0,22.0,5.5,,,,,,,,,,,1,1,1.0,2,True,False,False,True,True,True,True,60,119,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_8,4536-9239003145.igc,8,,Ventus 3M,"LXNAV,LX9070",21:32:55,21:33:00,77575.0,77580.0,6.0,1.9459101490553132,False,False,28.045616666666668,-98.88988333333332,1561.0,1648.0,1648.0,,,,,-1.5166666666666666,-1.7333333333333334,-0.21666666666666679,-108.0,False,False,False,True,False,True,False,False,116.0,4.0,4.0,112.0,28.0,,,,,,,,,,,1,1,1.0,1,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_9,4536-9239003145.igc,9,,Ventus 3M,"LXNAV,LX9070",21:33:52,21:33:52,77632.0,77632.0,1.0,0.6931471805599453,True,False,28.065916666666663,-98.91181666666668,1582.0,1671.0,1671.0,,,,,-1.3333333333333333,-2.6083333333333334,-1.2750000000000001,-291.0,False,False,False,True,False,True,False,False,22.0,4.0,4.0,18.0,4.5,,,,,,,,,,,1,1,1.0,1,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_10,4536-9239003145.igc,10,,Ventus 3M,"LXNAV,LX9070",21:36:00,21:36:08,77760.0,77768.0,9.0,2.302585092994046,False,False,28.1357,-98.91773333333332,1291.0,1357.0,1357.0,,,,,-3.2,1.1166666666666667,4.316666666666666,211.0,True,True,True,False,True,True,False,False,32.0,4.0,4.0,28.0,7.0,,,,,,,,,,,1,1,1.0,4,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_11,4536-9239003145.igc,11,,Ventus 3M,"LXNAV,LX9070",21:45:12,21:45:12,78312.0,78312.0,1.0,0.6931471805599453,True,False,28.33065,-99.08328333333333,1253.0,1315.0,1315.0,,,,,-2.3833333333333333,-0.05,2.3333333333333335,116.0,False,True,True,False,True,True,False,False,50.0,4.0,4.0,46.0,11.5,,,,,,,,,,,1,1,1.0,3,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_12,4536-9239003145.igc,12,,Ventus 3M,"LXNAV,LX9070",22:02:49,22:03:12,79369.0,79392.0,24.0,3.2188758248682006,False,True,28.54975,-99.36096666666668,1945.0,2055.0,2055.0,,,,,-2.4166666666666665,-0.9583333333333334,1.458333333333333,-196.0,False,True,False,True,False,True,False,False,64.0,8.0,8.0,56.0,7.0,,,,,,,,,,,1,1,1.0,3,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_13,4536-9239003145.igc,13,,Ventus 3M,"LXNAV,LX9070",22:04:08,22:04:08,79448.0,79448.0,1.0,0.6931471805599453,True,False,28.584866666666667,-99.39696666666669,1770.0,1867.0,1867.0,,,,,-2.1,-1.6,0.5,-162.0,False,True,False,True,False,True,False,False,48.0,10.0,6.0,38.0,3.8,,,,,,,,,,,1,1,1.0,2,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_14,4536-9239003145.igc,14,,Ventus 3M,"LXNAV,LX9070",22:06:13,22:06:15,79573.0,79575.0,3.0,1.3862943611198906,True,False,28.6495,-99.42161666666668,1591.0,1678.0,1678.0,,,,,-3.3833333333333333,3.0166666666666666,6.4,435.0,True,True,True,False,True,True,False,False,44.0,4.0,4.0,40.0,10.0,,,,,,,,,,,1,1,1.0,4,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_15,4536-9239003145.igc,15,,Ventus 3M,"LXNAV,LX9070",22:11:48,22:12:10,79908.0,79930.0,23.0,3.1780538303479458,False,True,28.74798333333333,-99.45525,1998.0,2115.0,2115.0,,,,,-0.7833333333333333,-1.0,-0.21666666666666667,-125.0,False,False,False,True,False,True,False,False,52.0,4.0,4.0,48.0,12.0,,,,,,,,,,,1,1,1.0,2,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_16,4536-9239003145.igc,16,,Ventus 3M,"LXNAV,LX9070",22:14:13,22:14:13,80053.0,80053.0,1.0,0.6931471805599453,True,False,28.812483333333333,-99.50811666666668,1880.0,1988.0,1988.0,,,,,-2.1333333333333333,-1.5583333333333331,0.5750000000000002,-178.0,False,True,False,True,False,True,False,False,26.0,4.0,6.0,22.0,5.5,,,,,,,,,,,1,1,1.0,2,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
