file,status,time_series_rows,candidate_events
4536-9239003137.igc,processed,13618,1
4536-9239003138.igc,processed,12240,2
4536-9239003139.igc,processed,14131,0
4536-9239003142.igc,processed,16260,0
4536-9239003143.igc,processed,14112,1
4536-9239003145.igc,processed,14657,22
4536-9239003146.igc,processed,14655,6
4536-9239003148.igc,processed,6456,1
4536-9239003150.igc,processed,12952,6
4536-9239003151.igc,processed,11103,13
