file,date,glider_type,recorder_type,gps_receiver,pressure_sensor,motor_sensor,extensions,b_record_count,valid_b_record_count,invalid_b_record_count,has_i_record,parse_error,FXA,ENL,MOP,RPM,TAS,GSP,VAT,NET,ACZ,AOR,AOP,OAT,extension_count
4536-9239003529.igc,"240824,1",18m AS33 @ventus,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOA,AOP,AOR,ENL,FXA,GSP,NET,OAT,SIU,TAS,TRT,VAT",16306,16267,39,True,,True,True,False,False,True,True,True,True,True,True,True,True,13
4536-9239003530.igc,"240824,1",JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOA,AOP,AOR,ENL,FXA,GSP,NET,OAT,SIU,TAS,TRT,VAT",15059,15059,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,13
4536-9239003531.igc,,JS-3-18m Abm,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10181,ET=233,56,233,56,0.04V,p=1),SW:100, HW:2","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,TAS,TRT,VAT",16684,16684,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,12
4536-9239003532.igc,"240824,1",JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOA,AOP,AOR,ENL,FXA,GSP,NET,OAT,SIU,TAS,TRT,VAT",14563,14555,8,True,,True,True,False,False,True,True,True,True,True,True,True,True,13
4536-9239003533.igc,,AS 33Es 18m,"LXNAV,LX9070","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,ENL,FXA,GSP,OAT,TAS,TRT,VAT",14925,14920,5,True,,True,True,False,False,True,True,True,False,True,False,False,True,8
4536-9239003534.igc,,JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10295,ET=1764,7,1764,7,0.05V,p=1),SW:100, HW:2","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,OAT,TAS,TRT,VAT",17902,17902,0,True,,True,True,True,False,True,True,True,False,True,True,True,True,11
4536-9239003535.igc,,Ventus 3M,"LXNAV,LX9070","uBLOX NEO-M9N,92,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOP,AOR,ENL,FXA,GSP,NET,OAT,TAS,TRT,VAT",14811,14811,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,11
4536-9239003536.igc,,Ventus 3T,"LXNAV,LX9070","uBLOX NEO-M9N,92,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOA,AOP,AOR,ENL,FXA,GSP,NET,OAT,TAS,TRT,VAT",14526,14526,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,12
4536-9239003537.igc,,JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10190,ET=25622,184,25622,184,0.02V,p=1),SW:100, HW:2","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,TAS,TRT,VAT",16510,16510,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,12
4536-9239003538.igc,,Ventus 3T,"LXNAV,LX9000F","uBLOX LEA-6DUAL,50,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOP,AOR,ENL,FXA,GSP,OAT,TAS,TRT,VAT",16375,16375,0,True,,True,True,False,False,True,True,True,False,True,True,True,True,10
4536-9239003539.igc,,JS-3-18m,"LXNAV,LX9070","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ECURRENT,MOP-(SN:306,ET=29,15,29,15,3.30V,p=1),SW:200, HW:20","0VO,103,ACZ,COT,CU1,CU2,ENL,FXA,GSP,LE1,MOP,MOT,NET,OAT,RPM,TAS,TRT,VAT,VO1",14817,14817,0,True,,True,True,True,True,True,True,True,True,True,False,False,True,19
4536-9239003540.igc,,JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10194,ET=159,37,159,37,0.03V,p=64),SW:100, HW:2","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,TAS,TRT,VAT",16696,16696,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,12
4536-9239003541.igc,,JS-3-18m,"LXNAV,LX9070F","uBLOX LEA-6S,50,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10069,ET=747,80,747,80,3.24V,p=24),SW:201, HW:1","ACZ,ENL,FXA,GSP,MOP,OAT,TAS,TRT,VAT",18097,18097,0,True,,True,True,True,False,True,True,True,False,True,False,False,True,9
4536-9239003542.igc,"240824,1",JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10218,ET=33,18,33,18,0.04V,p=1),SW:100, HW:2","ACZ,AOA,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,SIU,TAS,TRT,VAT",16921,16921,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,14
4536-9239003543.igc,,AS 33Es 18m,"LXNAV,S10","UBLOX,NEO-9,92,max50000m","INTERSEMA,MS5611,max30000m",,"ACZ,AOP,AOR,ENL,FXA,GSP,NET,OAT,TAS,TRT,VAT",15243,15243,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,11
4536-9239003544.igc,,JS-3-18m_MM,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10283,ET=52,31,52,31,0.03V,p=1),SW:201, HW:2","ACZ,ENL,FXA,GSP,MOP,OAT,TAS,TRT,VAT",15626,15626,0,True,,True,True,True,False,True,True,True,False,True,False,False,True,9
4536-9239003545.igc,,JS-3-18m,"LXNAV,LX9070F","uBLOX LEA-6S,50,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10365,ET=146,20,146,20,3.30V,p=1),SW:200, HW:20","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,OAT,TAS,TRT,VAT",17054,17054,0,True,,True,True,True,False,True,True,True,False,True,True,True,True,11
4536-9239003546.igc,,AS 33ES/18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOP,AOR,ENL,FXA,GSP,NET,OAT,TAS,TRT,VAT",19158,19158,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,11
4536-9239003547.igc,,ASG29,"ClearNav Instr., ClearNav II",,"Intersema,MS5540C,20000",,"ENL,FXA,GSP",20273,20273,0,True,,True,True,False,False,False,True,False,False,False,False,False,False,3
4536-9239003548.igc,,JS-3-18m,"LXNAV,LX9070","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10298,ET=2618,11,2618,11,0.07V,p=1),SW:100, HW:2","ACZ,EGT,ENL,FFL,FLE,FXA,GSP,MOP,OAT,RPM,TAS,TRT,VAT",15980,15980,0,True,,True,True,True,True,True,True,True,False,True,False,False,True,13
